Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Carles Soldevila,e,12.77,a,12.44,s,7.64,n,6.93,i,6.85,r,6.63,l,6.48,t,6.31,o,5.3,u,4.05,12.77,12.44,7.64,6.93,6.85,6.63,6.48,6.31,5.3,4.05,3.82,3.37,3.06,2.57,1.65,1.54,1.45,1.17,1.04,0.95,Catalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Winther,e,13.39,t,8.74,r,7.73,n,7.38,o,7.17,a,6.93,i,6.25,s,5.29,d,5.02,l,3.83,13.39,6.93,5.29,7.38,6.25,7.73,3.83,8.74,7.17,2.84,5.02,2.45,2.54,2.19,,3.49,1.6,2.16,3.08,,Danish,1.7,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Marsh,e,15.75,a,8.22,r,7.52,n,7.43,t,7.39,d,6.77,i,5.54,s,5.26,o,4.53,g,4.51,15.75,8.22,5.26,7.43,5.54,7.52,4.27,7.39,4.53,1.93,6.77,,3.16,1.61,2.58,4.51,1.25,2.0,2.65,,Danish,2.8,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophus Bauditz,e,16.16,a,8.56,r,7.74,n,7.47,d,6.84,t,6.64,i,5.38,s,5.23,g,4.98,o,4.73,16.16,8.56,5.23,7.47,5.38,7.74,4.59,6.64,4.73,2.16,6.84,,3.18,1.31,2.65,4.98,1.44,1.97,2.39,,Danish,2.74,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,e,17.67,n,9.76,a,6.94,i,6.86,t,6.81,o,6.58,r,6.23,d,5.66,s,4.2,l,3.53,17.67,6.94,4.2,9.76,6.86,6.23,3.53,6.81,6.58,2.13,5.66,2.3,2.41,1.57,1.9,3.04,1.51,,3.47,,Dutch,1.64,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D' Arbez,e,18.72,n,10.71,a,7.86,d,6.27,i,6.2,t,6.19,o,6.0,r,5.79,s,3.62,l,3.47,18.72,7.86,3.62,10.71,6.2,5.79,3.47,6.19,6.0,1.74,6.27,,2.16,,2.15,3.34,1.43,,3.21,,Dutch,2.26,,1.72,1.81,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Amelineau,e,17.12,n,9.41,t,7.42,o,6.98,a,6.66,i,6.64,r,6.17,d,5.95,s,4.41,l,3.36,17.12,6.66,4.41,9.41,6.64,6.17,3.36,7.42,6.98,2.12,5.95,2.08,2.15,1.8,1.95,3.05,1.76,,3.09,,Dutch,1.5,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Deschamps,e,18.63,n,10.7,a,7.54,t,6.48,o,6.28,r,6.13,i,6.08,d,6.0,s,3.73,l,3.51,18.63,7.54,3.73,10.7,6.08,6.13,3.51,6.48,6.28,1.87,6.0,1.46,2.27,1.48,2.34,3.18,1.6,,2.96,,Dutch,2.09,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington Bacon,e,18.48,n,10.32,a,7.07,i,6.68,d,6.52,r,6.36,t,6.33,o,6.1,g,3.66,s,3.64,18.48,7.07,3.64,10.32,6.68,6.36,3.56,6.33,6.1,1.65,6.52,1.58,2.09,,2.5,3.66,1.49,,2.92,,Dutch,1.68,,1.6,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerlacus Ribbius,e,17.28,n,9.84,t,7.23,a,7.18,i,6.82,o,6.76,r,5.97,d,5.05,s,4.18,l,3.57,17.28,7.18,4.18,9.84,6.82,5.97,3.57,7.23,6.76,2.2,5.05,1.7,2.36,1.6,1.89,2.89,,,3.08,,Dutch,2.17,,1.82,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo de Vries,e,18.22,n,9.96,a,7.23,o,6.47,r,6.46,t,6.36,i,6.01,d,5.91,s,4.15,l,3.76,18.22,7.23,4.15,9.96,6.01,6.46,3.76,6.36,6.47,2.07,5.91,1.7,1.93,1.38,2.27,3.61,1.69,,2.87,,Dutch,1.95,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jos. J. Schürmann,e,17.73,n,9.76,a,7.35,t,6.8,i,6.58,r,6.39,o,6.35,d,5.17,s,3.93,l,3.66,17.73,7.35,3.93,9.76,6.58,6.39,3.66,6.8,6.35,2.15,5.17,1.8,2.43,,2.2,3.05,1.48,,3.13,,Dutch,2.14,,1.7,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Verne,e,18.51,n,10.34,a,7.18,i,6.71,t,6.29,o,6.18,d,6.07,r,5.74,l,3.58,s,3.55,18.51,7.18,3.55,10.34,6.71,5.74,3.58,6.29,6.18,1.83,6.07,1.44,2.33,,2.23,3.02,,,3.14,,Dutch,2.72,,1.72,1.98,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovic Halévy,e,17.97,n,9.53,a,7.55,i,7.04,t,6.74,o,5.89,r,5.82,d,5.16,s,3.46,h,3.44,17.97,7.55,3.46,9.53,7.04,5.82,3.39,6.74,5.89,2.04,5.16,,2.47,,1.98,3.18,1.48,,3.44,,Dutch,2.22,,2.63,1.95,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwig Rellstab,e,18.94,n,9.88,i,6.6,a,6.52,d,6.46,r,6.29,o,6.12,t,5.83,l,3.63,h,3.59,18.94,6.52,3.56,9.88,6.6,6.29,3.63,5.83,6.12,1.67,6.46,,2.26,,2.26,3.37,1.43,,3.59,,Dutch,2.42,,2.06,1.93,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. E. Hume-Griffith,e,18.56,n,10.67,a,7.62,o,6.51,t,6.32,r,6.23,i,6.14,d,5.76,s,3.57,l,3.34,18.56,7.62,3.57,10.67,6.14,6.23,3.34,6.32,6.51,1.79,5.76,,2.4,,2.3,3.12,1.38,,3.01,,Dutch,2.16,,1.56,2.11,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulus Adrianus Daum,e,17.99,n,9.69,a,8.05,i,6.58,o,6.27,t,6.17,d,5.74,r,5.66,h,4.15,l,3.52,17.99,8.05,3.39,9.69,6.58,5.66,3.52,6.17,6.27,1.68,5.74,,2.46,,1.98,3.27,1.48,,4.15,,Dutch,2.31,,2.25,1.84,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roald Amundsen,e,19.28,n,10.91,a,6.93,t,6.69,o,6.08,i,5.96,d,5.89,r,5.69,s,3.67,l,3.56,19.28,6.93,3.67,10.91,5.96,5.69,3.56,6.69,6.08,1.79,5.89,,2.18,1.5,2.3,3.26,1.55,,3.07,,Dutch,2.21,,,2.03,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Various,e,19.11,n,10.83,a,7.24,i,6.35,r,6.17,d,6.1,o,6.09,t,6.06,s,3.71,l,3.63,19.11,7.24,3.71,10.83,6.35,6.17,3.63,6.06,6.09,1.7,6.1,,2.1,,2.49,3.31,1.53,,2.97,,Dutch,2.18,,1.55,1.66,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. J. Spitz,e,18.05,n,9.05,t,7.22,i,7.16,o,6.63,r,6.36,a,6.28,d,5.29,s,4.18,h,4.02,18.05,6.28,4.18,9.05,7.16,6.36,3.62,7.22,6.63,2.16,5.29,2.63,2.5,1.33,1.91,3.22,1.52,,4.02,,Dutch (Nederlands),,,1.3,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'A Highland Seer',e,12.27,t,9.09,o,8.1,a,7.39,n,7.25,i,7.22,r,6.71,s,6.45,h,4.45,l,3.88,12.27,7.39,6.45,7.25,7.22,6.71,3.88,9.09,8.1,3.12,3.6,3.4,2.37,2.28,,2.22,1.78,2.84,4.45,,English,,1.94,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Illustrated by Blanche Fisher Wright),e,11.97,t,8.77,a,8.09,o,7.74,n,6.51,i,6.41,r,5.72,h,5.71,s,5.47,l,5.19,11.97,8.09,5.47,6.51,6.41,5.72,5.19,8.77,7.74,2.5,4.46,2.64,2.68,1.99,,2.26,2.07,1.81,5.71,,English,,2.79,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A London Antiquary,e,11.58,t,8.3,o,8.3,a,8.29,n,7.13,r,6.83,s,6.67,i,6.64,h,4.64,l,4.2,11.58,8.29,6.67,7.13,6.64,6.83,4.2,8.3,8.3,2.75,3.64,3.23,2.45,2.38,,2.54,1.75,2.33,4.64,,English,,1.87,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. A. Milne,e,11.63,t,9.61,o,8.3,a,8.02,i,6.92,n,6.67,h,6.55,s,5.77,r,5.19,d,4.46,11.63,8.02,5.77,6.67,6.92,5.19,4.27,9.61,8.3,2.93,4.46,2.06,2.22,1.76,,2.17,1.83,1.87,6.55,,English,,2.64,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. C. Bradley,e,12.87,t,9.61,a,7.8,i,7.6,o,7.5,s,7.32,n,6.84,h,6.29,r,5.67,l,3.92,12.87,7.8,7.32,6.84,7.6,5.67,3.92,9.61,7.5,2.57,3.61,2.82,2.45,1.83,,1.79,1.43,2.52,6.29,,English,,1.62,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. C. Hobbs,e,12.68,t,10.09,o,7.88,i,6.92,a,6.91,n,6.78,s,6.15,r,6.06,h,5.77,l,4.09,12.68,6.91,6.15,6.78,6.92,6.06,4.09,10.09,7.88,2.53,3.48,3.76,2.32,2.24,,1.68,2.06,2.46,5.77,,English,,1.65,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Conan Doyle,e,12.27,t,9.07,a,8.1,o,7.78,i,7.0,n,6.64,h,6.59,s,6.24,r,5.76,d,4.25,12.27,8.1,6.24,6.64,7.0,5.76,3.97,9.07,7.78,2.99,4.25,2.49,2.7,1.64,,1.85,1.48,2.09,6.59,,English,,2.17,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. E. (Arno Erdman) Schmidt,e,12.68,t,9.69,a,7.94,o,7.21,r,7.14,i,6.59,n,6.54,s,6.52,h,5.16,l,3.87,12.68,7.94,6.52,6.54,6.59,7.14,3.87,9.69,7.21,3.13,3.42,3.0,2.42,2.5,,1.98,1.61,2.66,5.16,,English,,1.7,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. E. Housman,e,12.23,t,9.08,o,8.03,a,7.43,n,7.06,i,6.53,r,6.42,s,5.95,h,5.65,l,4.89,12.23,7.43,5.95,7.06,6.53,6.42,4.89,9.08,8.03,2.92,4.37,2.21,2.43,1.75,,2.27,1.6,2.13,5.65,,English,,2.16,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. M. Barnard,e,12.67,t,8.31,a,8.25,o,7.46,n,7.0,i,6.79,r,6.27,s,6.24,h,5.8,d,4.65,12.67,8.25,6.24,7.0,6.79,6.27,4.14,8.31,7.46,2.84,4.65,2.4,2.73,1.85,,2.02,1.38,2.21,5.8,,English,,2.33,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. T. Mahan,e,12.83,t,9.64,a,8.0,o,7.39,n,7.32,i,6.93,s,6.34,r,6.2,h,5.97,d,3.95,12.83,8.0,6.34,7.32,6.93,6.2,3.69,9.64,7.39,2.56,3.95,3.06,2.17,2.04,,1.89,1.49,2.94,5.97,,English,,1.58,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. Tozer,e,12.65,t,9.51,o,8.04,i,7.45,a,7.2,n,6.89,s,6.5,h,6.11,r,5.94,l,4.04,12.65,7.2,6.5,6.89,7.45,5.94,4.04,9.51,8.04,2.75,3.78,2.58,2.26,1.81,,2.15,1.52,2.61,6.11,,English,,1.81,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abd Salam Shabeeny,e,12.59,t,9.41,a,8.52,o,7.81,i,6.92,n,6.77,r,6.62,s,6.07,h,5.63,d,3.81,12.59,8.52,6.07,6.77,6.92,6.62,3.52,9.41,7.81,2.8,3.81,3.14,2.68,1.92,,1.76,1.75,2.63,5.63,,English,,1.66,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Lincoln,e,12.25,t,9.51,o,8.09,a,7.65,n,7.29,i,7.17,r,6.26,s,5.89,h,5.11,l,4.08,12.25,7.65,5.89,7.29,7.17,6.26,4.08,9.51,8.09,2.82,4.01,3.04,2.42,2.07,,2.12,1.52,2.33,5.11,,English,,1.92,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abram J. Dittenhoefer,e,12.76,t,9.48,a,7.77,o,7.66,n,7.66,i,7.26,r,6.28,s,5.86,h,5.2,l,4.14,12.76,7.77,5.86,7.66,7.26,6.28,4.14,9.48,7.66,2.53,4.0,3.25,2.4,2.06,,1.9,1.51,2.44,5.2,,English,,1.74,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,e,12.93,t,9.9,o,8.15,a,7.51,n,7.04,i,6.76,r,6.62,s,5.79,h,5.7,l,3.52,12.93,7.51,5.79,7.04,6.76,6.62,3.52,9.9,8.15,2.99,3.38,3.3,2.52,2.31,,1.58,1.59,2.78,5.7,,English,,1.9,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelin Balch Coit,e,11.53,t,9.64,o,9.27,a,7.16,r,7.08,i,6.94,n,6.9,s,4.89,c,3.7,h,3.6,11.53,7.16,4.89,6.9,6.94,7.08,3.59,9.64,9.27,3.32,3.54,3.7,2.28,3.03,,2.43,1.98,3.05,3.6,,English,,1.69,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschylus,e,12.57,t,8.92,a,8.0,o,7.73,n,6.71,s,6.63,h,6.43,i,6.38,r,6.35,l,4.38,12.57,8.0,6.63,6.71,6.38,6.35,4.38,8.92,7.73,2.49,4.08,2.51,2.44,1.8,,2.36,1.41,2.47,6.43,,English,,1.93,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesop,e,12.69,t,9.46,a,8.14,o,7.82,h,6.81,n,6.7,i,6.41,s,5.85,r,5.55,d,4.57,12.69,8.14,5.85,6.7,6.41,5.55,3.81,9.46,7.82,2.93,4.57,2.33,2.41,1.8,,2.17,1.59,2.47,6.81,,English,,1.92,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie,e,12.26,t,9.34,a,7.94,o,7.82,i,7.16,n,6.65,s,6.01,h,5.82,r,5.79,d,4.39,12.26,7.94,6.01,6.65,7.16,5.79,3.98,9.34,7.82,3.21,4.39,2.43,2.76,1.85,,2.05,1.48,1.95,5.82,,English,,2.34,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes C. (Agnes Christina) Laut,e,12.43,t,9.02,a,7.9,o,7.73,n,7.39,r,7.02,s,6.51,i,6.2,h,5.66,d,4.44,12.43,7.9,6.51,7.39,6.2,7.02,3.6,9.02,7.73,2.53,4.44,2.77,2.21,2.04,,2.08,1.67,2.59,5.66,,English,,1.76,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Giberne,e,12.38,t,8.98,o,8.05,a,7.68,n,6.76,i,6.67,s,6.38,h,6.19,r,5.93,d,4.59,12.38,7.68,6.38,6.76,6.67,5.93,4.14,8.98,8.05,3.1,4.59,2.23,2.56,1.64,,2.14,1.44,2.11,6.19,,English,,2.17,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Grainger Stewart,e,12.51,t,8.76,o,7.78,a,7.63,i,7.22,n,6.72,r,6.65,s,6.48,h,6.11,d,4.13,12.51,7.63,6.48,6.72,7.22,6.65,3.53,8.76,7.78,2.64,4.13,2.94,2.52,1.77,,2.3,1.54,2.51,6.11,,English,,1.92,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Mary Frances (Robinson) Duclaux,e,12.94,t,8.88,a,8.1,o,7.48,n,6.84,s,6.74,r,6.72,i,6.38,h,5.72,l,4.48,12.94,8.1,6.74,6.84,6.38,6.72,4.48,8.88,7.48,2.94,3.86,2.75,2.31,1.81,,1.9,1.45,2.66,5.72,,English,,1.68,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Angus Turbayne,e,11.64,t,9.88,i,7.97,o,7.81,a,7.2,r,6.89,n,6.43,s,5.29,l,4.87,h,3.77,11.64,7.2,5.29,6.43,7.97,6.89,4.87,9.88,7.81,3.0,3.41,3.39,2.2,2.77,,2.18,1.8,2.31,3.77,,English,,1.6,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert G. Mackey,e,12.76,t,9.86,o,7.79,i,7.74,a,7.49,n,7.19,s,6.59,r,6.1,h,5.54,d,3.85,12.76,7.49,6.59,7.19,7.74,6.1,3.65,9.86,7.79,2.45,3.85,3.1,2.61,1.92,,1.84,1.61,2.65,5.54,,English,,1.72,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta Powell Graham,e,11.67,a,8.7,t,8.43,n,7.64,o,7.3,i,7.07,r,6.57,s,6.42,h,5.28,d,4.32,11.67,8.7,6.42,7.64,7.07,6.57,3.92,8.43,7.3,2.74,4.32,3.27,2.79,1.95,,2.08,1.8,2.15,5.28,,English,,1.92,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandr Sergeevich Pushkin,e,12.62,t,8.59,a,7.74,o,7.35,i,7.32,n,6.9,s,6.8,r,6.32,h,5.62,l,4.22,12.62,7.74,6.8,6.9,7.32,6.32,4.22,8.59,7.35,3.01,4.15,2.58,2.54,1.96,,2.0,1.5,2.22,5.62,,English,,1.85,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Falconbridge,e,13.62,t,9.33,o,7.74,a,7.65,n,6.89,r,6.66,i,6.54,s,6.09,h,5.67,d,3.83,13.62,7.65,6.09,6.89,6.54,6.66,3.3,9.33,7.74,2.62,3.83,3.09,2.21,2.13,,2.03,1.73,2.65,5.67,,English,,1.86,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Hamilton, John Jay, and James Madison",e,13.36,t,10.71,o,7.89,i,7.64,n,7.3,a,7.17,s,6.26,r,5.91,h,5.15,l,3.52,13.36,7.17,6.26,7.3,7.64,5.91,3.52,10.71,7.89,2.83,3.32,3.33,2.33,2.31,,1.42,1.65,2.7,5.15,,English,,1.54,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Pope,e,12.37,t,9.03,a,7.78,o,7.68,s,7.24,i,6.86,n,6.8,r,6.34,h,5.71,l,4.2,12.37,7.78,7.24,6.8,6.86,6.34,4.2,9.03,7.68,2.84,3.99,2.62,2.37,2.28,,1.85,1.54,2.35,5.71,,English,,1.66,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Pushkin,e,12.72,t,8.99,a,8.07,o,7.53,i,6.93,n,6.83,s,6.34,h,6.27,r,6.22,d,4.58,12.72,8.07,6.34,6.83,6.93,6.22,3.76,8.99,7.53,2.81,4.58,2.43,2.6,1.78,,2.01,1.42,2.2,6.27,,English,,1.81,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandre Dumas, Père",e,12.45,t,9.0,a,8.44,o,7.71,i,6.87,n,6.82,h,6.44,s,6.16,r,5.93,d,4.68,12.45,8.44,6.16,6.82,6.87,5.93,3.68,9.0,7.71,3.05,4.68,2.37,2.83,1.65,,1.94,1.31,2.05,6.44,,English,,2.01,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis de Toqueville,e,13.19,t,10.44,i,7.87,o,7.5,a,7.44,n,7.16,s,6.62,r,5.98,h,5.59,l,3.56,13.19,7.44,6.62,7.16,7.87,5.98,3.56,10.44,7.5,2.59,3.3,3.45,2.5,2.05,,1.41,1.39,2.54,5.59,,English,,1.72,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Edgar (A. E.) Coppard,e,12.19,t,8.85,a,8.03,o,7.53,n,6.86,i,6.82,h,6.71,s,6.09,r,5.66,d,4.74,12.19,8.03,6.09,6.86,6.82,5.66,4.27,8.85,7.53,2.89,4.74,2.23,2.47,1.71,,2.34,1.65,2.18,6.71,,English,,1.94,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Elwes,e,12.45,t,9.33,o,7.95,a,7.65,i,6.85,n,6.7,r,6.11,s,5.99,h,5.84,d,4.34,12.45,7.65,5.99,6.7,6.85,6.11,3.64,9.33,7.95,3.02,4.34,2.68,2.52,1.94,,2.22,1.65,2.48,5.84,,English,,1.98,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Lord Tennyson,e,12.61,t,8.78,a,7.81,o,7.71,n,6.63,h,6.43,r,6.38,s,6.21,i,6.13,l,4.66,12.61,7.81,6.21,6.63,6.13,6.38,4.66,8.78,7.71,2.92,4.66,2.26,2.68,1.62,,2.07,1.55,2.28,6.43,,English,,1.81,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Tennyson Tennyson,e,12.26,t,9.04,o,7.7,a,7.69,n,6.62,i,6.56,r,6.4,h,6.37,s,6.34,l,4.68,12.26,7.69,6.34,6.62,6.56,6.4,4.68,9.04,7.7,2.49,4.3,2.41,2.57,1.67,,2.11,1.56,2.43,6.37,,English,,1.72,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred William Benn,e,12.57,t,9.84,i,7.98,o,7.75,a,7.59,n,6.94,s,6.75,r,5.88,h,5.47,l,3.93,12.57,7.59,6.75,6.94,7.98,5.88,3.93,9.84,7.75,2.64,3.54,3.4,2.32,2.2,,1.75,1.43,2.38,5.47,,English,,1.66,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfred, Lord Tennyson",e,12.73,t,8.66,a,8.19,o,7.36,h,7.25,n,7.14,r,6.11,i,6.1,s,5.72,d,4.9,12.73,8.19,5.72,7.14,6.1,6.11,4.83,8.66,7.36,2.57,4.9,1.82,2.6,1.18,,2.24,1.51,2.27,7.25,,English,,1.81,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algernon Blackwood,e,12.41,t,9.59,a,7.67,o,7.49,n,7.1,i,7.09,s,6.17,h,5.93,r,5.62,d,4.47,12.41,7.67,6.17,7.1,7.09,5.62,3.91,9.59,7.49,2.9,4.47,2.53,2.47,1.88,,2.35,1.43,2.49,5.93,,English,,1.79,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Gerstenberg,e,12.38,t,9.43,o,7.91,a,7.68,i,7.02,n,6.46,s,5.98,r,5.71,h,5.5,l,4.14,12.38,7.68,5.98,6.46,7.02,5.71,4.14,9.43,7.91,3.67,3.67,2.99,2.31,1.72,,2.27,1.48,1.9,5.5,,English,,2.51,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Mabel Bacon,e,13.07,t,9.29,a,7.87,o,7.65,n,7.07,i,6.81,s,6.71,r,6.21,h,6.17,d,3.75,13.07,7.87,6.71,7.07,6.81,6.21,3.72,9.29,7.65,2.55,3.75,2.58,2.51,1.94,,1.93,1.45,2.74,6.17,,English,,1.78,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Chaffee,e,12.94,t,9.72,o,7.6,a,7.45,h,7.02,n,6.35,r,6.11,i,5.85,s,5.62,d,4.43,12.94,7.45,5.62,6.35,5.85,6.11,4.23,9.72,7.6,2.72,4.43,2.31,1.95,1.74,,2.35,1.6,2.85,7.02,,English,,1.88,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarado M. Fuller,e,12.81,t,9.52,a,7.93,o,7.62,n,6.89,i,6.87,s,6.07,h,6.04,r,6.04,d,4.23,12.81,7.93,6.07,6.89,6.87,6.04,3.87,9.52,7.62,2.82,4.23,2.87,2.37,1.79,,1.91,1.65,2.39,6.04,,English,,1.89,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrose Bierce,e,12.13,t,9.18,a,8.03,o,7.8,i,7.44,n,7.31,s,6.31,r,6.08,h,5.49,l,3.9,12.13,8.03,6.31,7.31,7.44,6.08,3.9,9.18,7.8,2.74,3.9,2.93,2.49,2.09,,2.07,1.65,2.46,5.49,,English,,1.83,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrose Coleman,e,12.63,t,9.45,a,7.76,i,7.74,o,7.59,n,7.2,s,6.68,r,6.51,h,5.63,l,3.74,12.63,7.76,6.68,7.2,7.74,6.51,3.74,9.45,7.59,2.56,3.58,3.09,2.29,2.35,,1.82,1.39,2.44,5.63,,English,,1.72,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Alderson Opie,e,13.19,t,8.31,a,7.75,o,7.62,n,7.16,i,6.72,r,6.44,h,6.13,s,6.11,d,4.72,13.19,7.75,6.11,7.16,6.72,6.44,4.07,8.31,7.62,2.91,4.72,2.48,2.75,1.67,,1.86,1.55,2.2,6.13,,English,,2.08,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Anti-Slavery Convention of American Women,e,12.67,t,9.3,o,8.31,a,7.15,i,6.96,n,6.94,r,6.51,s,6.03,h,5.52,l,3.8,12.67,7.15,6.03,6.94,6.96,6.51,3.8,9.3,8.31,3.15,3.71,3.22,2.32,2.12,,1.83,1.64,2.65,5.52,,English,,1.91,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatole France,e,12.84,t,8.72,a,7.94,o,7.38,i,7.18,n,6.82,s,6.26,h,6.19,r,6.1,d,4.52,12.84,7.94,6.26,6.82,7.18,6.1,4.01,8.72,7.38,3.04,4.52,2.7,2.53,1.8,,2.1,1.51,2.31,6.19,,English,,1.66,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Lang,e,12.77,t,9.02,a,8.08,o,7.35,h,7.09,i,6.8,n,6.71,s,6.17,r,5.63,d,4.85,12.77,8.08,6.17,6.71,6.8,5.63,3.71,9.02,7.35,2.86,4.85,2.37,2.6,1.7,,1.99,1.44,2.19,7.09,,English,,2.06,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andr__ Ch__radame,e,12.71,t,9.45,a,8.21,i,7.38,n,7.37,o,7.27,r,6.62,s,6.4,h,4.87,l,4.22,12.71,8.21,6.4,7.37,7.38,6.62,4.22,9.45,7.27,2.76,3.04,3.04,2.51,2.15,,2.08,1.68,2.62,4.87,,English,,1.86,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
